question,co
Classify the different types of system calls with suitable examples.,CO1
Summarize the concept of process scheduling and its importance in system performance.,CO1
Apply operating system operations to explain how processes are executed and managed in a system.,CO1
Apply the functions of an operating system to illustrate how it manages hardware and software resources in a computing environment.,CO1
Draw the Gantt chart showing process execution.,CO2
Calculate the waiting time for each process.,CO2
Calculate the turnaround time for each process.,CO2
Compute the average waiting time and average turnaround time.,CO2
Determine the completion time for each process.,CO2
A system administrator changes the scheduling algorithm from FCFS to Round Robin. Analyze the impact of this change on response time and fairness.,CO1
"A real-time system experiences delays due to improper CPU allocation. Analyze the scheduling criteria and determine which factor (waiting time, turnaround time, response time) is most impacted.",CO1
Two processes use semaphores to share a printer. Apply wait() and signal() to ensure no process prints at the same time.,CO2
"Given two programs, one using contiguous allocation and one using paging, compare their memory efficiency and fragmentation issues.",CO4
"In a memory allocation scenario with fragmentation, apply paging to eliminate external fragmentation.",CO4
Apply the concept of demand paging to illustrate how pages are loaded into memory during program execution.,CO2
"In a shared buffer system, implement synchronization using semaphores to avoid data corruption.",CO1
A student creates a multi-threaded chat app. Apply mutex locks to handle simultaneous message writes.,CO3
What is the content of a matrix NEED?,CO1
"Is the system in Safe state? If yes, give the safe state.",CO1
"If a request from a process P1 arrives for (0,4,2,0), can the request be granted immediately?",CO2
Analyze the system by computing the Need matrix.,CO1
Apply a suitable algorithm that determines whether the system is in a safe state.,CO1
"If the system is safe, derive a safe sequence; otherwise, justify why the system is unsafe.",CO1
Analyze the causes and effects of thrashing in modern operating systems.,CO1
"Compare and analyze FCFS, SJF, and Round Robin scheduling algorithms.",CO2
Differentiate between logical memory and physical memory with suitable examples.,CO4
Examine the role of the Translation Lookaside Buffer (TLB) in paging systems.,CO1
Analyze how deadlocks occur in a multitasking environment.,CO3
Compare process synchronization mechanisms such as semaphores and monitors.,CO2
Analyze the working of virtual memory in operating systems.,CO1
Compare contiguous and non-contiguous memory allocation techniques.,CO4
Analyze the advantages and disadvantages of multiprocessor systems.,CO1
Compare demand paging with segmentation memory management.,CO4
Analyze the role of system calls in operating systems.,CO1
Evaluate the effectiveness of Round Robin scheduling for time-sharing systems.,CO1
Justify the use of paging over segmentation in memory management.,CO4
Criticize the limitations of deadlock avoidance algorithms.,CO3
Recommend the best disk scheduling algorithm for SSD-based systems.,CO1
Evaluate the impact of virtual memory on system performance.,CO1
Evaluate different file allocation methods used in operating systems.,CO1
Recommend an appropriate scheduling algorithm for real-time systems.,CO1
Critically evaluate semaphore-based synchronization mechanisms.,CO3
Justify the need for process scheduling in multiprogramming systems.,CO1
Evaluate the performance trade-offs between threads and processes.,CO2
Critically analyze the effectiveness of memory protection mechanisms.,CO3
Recommend suitable memory allocation techniques for embedded systems.,CO1
Evaluate the security challenges in modern operating systems.,CO1
Justify the use of interprocess communication techniques.,CO2
Design a CPU scheduling algorithm for real-time operating systems.,CO1
Develop a deadlock prevention strategy for distributed systems.,CO1
Construct a paging mechanism for virtual memory management.,CO4
Create a synchronization model using semaphores and mutex locks.,CO3
Propose a file allocation method for high-speed storage systems.,CO1
Design an operating system module for process communication.,CO1
Develop an efficient disk scheduling strategy for cloud environments.,CO2
Create a custom memory management scheme for gaming systems.,CO1
Design a multithreaded application to demonstrate process synchronization.,CO2
Develop a process scheduling simulator using any programming language.,CO2
Construct a deadlock detection algorithm for multiprocessor systems.,CO1
Propose an improved virtual memory replacement algorithm.,CO4
Create a lightweight operating system architecture for IoT devices.,CO1
Design a secure file management system for distributed environments.,CO1
Develop a resource allocation framework to avoid starvation.,CO4
Distinguish between Multiprocessor System and Clustered System.,CO1
Define operating Systems.,CO1
Explain the dual-mode operating system with a neat diagram.,CO1
Explain the concept of the virtual machine.,CO2
Explain the layered approach of operating system structure with a supporting diagram.,CO1
What are system calls?,CO1
Briefly point out the types of system calls with illustrations.,CO1
Explain the services of the operating system that are helpful for the user and the system.,CO1
Explain the states of a process with a transition diagram and process control block.,CO2
What is inter-process communication?,CO1
Discuss message passing and the shared memory concept of IPC.,CO2
Calculate average waiting and turnaround times by drawing the Gantt chart using FCFS and RR (q=2ms).,CO2
Explain five different scheduling criteria used in the computing scheduling mechanism.,CO2
Calculate the average waiting time and the average turnaround time by drawing the Gantt chart using SRTF and the Priority scheduling algorithm.,CO2
Define deadlock.,CO3
What are the necessary conditions for deadlock to occur?,CO1
Illustrate Peterson’s solution for the critical section problem.,CO3
What is the content of the need matrix?,CO1
Is the system in a safe state?,CO1
"If a request from process P1 arrives for (0,4,2,0), can the request be granted immediately?",CO2
Explain different methods to recover from deadlocks.,CO3
What is a resource allocation graph?,CO1
Consider an example to explain how a resource allocation graph is useful in describing a deadly embrace.,CO4
What is a semaphore?,CO1
State the Dining Philosopher problem and give a solution using semaphore.,CO3
What is TLB?,CO1
Explain TLB in detail with a paging system with a neat diagram.,CO1
"Determine the number of page faults using the FIFO, Optimal, and LRU replacement algorithms.",CO4
Which page replacement algorithm is most efficient?,CO4
What is demand paging?,CO1
Explain the steps in handling page faults using the appropriate diagram.,CO4
What is segmentation?,CO1
Discuss the structure of the page table with a suitable diagram.,CO1
What is a file?,CO1
What are the attributes of a file?,CO1
Explain file operations.,CO1
Explain in detail about various file operations in a file system.,CO1
Discuss various directory structures with neat diagrams.,CO1
Explain contiguous and linked disk space allocation methods.,CO4
Explain the access matrix method of system protection with the domain as objects and its implementation.,CO1
