question,bloom_level
Classify the different types of system calls with suitable examples.,Understand
Summarize the concept of process scheduling and its importance in system performance.,Understand
Apply operating system operations to explain how processes are executed and managed in a system.,Apply
Apply the functions of an operating system to illustrate how it manages hardware and software resources in a computing environment.,Apply
Draw the Gantt chart showing process execution.,Apply
Calculate the waiting time for each process.,Apply
Calculate the turnaround time for each process.,Apply
Compute the average waiting time and average turnaround time.,Apply
A system administrator changes the scheduling algorithm from FCFS to Round Robin. Analyze the impact of this change on response time and fairness.,Analyze
"A real-time system experiences delays due to improper CPU allocation. Analyze the scheduling criteria and determine which factor (waiting time, turnaround time, response time) is most impacted.",Analyze
Two processes use semaphores to share a printer. Apply wait() and signal() to ensure no process prints at the same time.,Apply
"Given two programs, one using contiguous allocation and one using paging, compare their memory efficiency and fragmentation issues.",Analyze
"In a memory allocation scenario with fragmentation, apply paging to eliminate external fragmentation.",Apply
Apply the concept of demand paging to illustrate how pages are loaded into memory during program execution.,Apply
"In a shared buffer system, implement synchronization using semaphores to avoid data corruption.",Apply
A student creates a multi-threaded chat app. Apply mutex locks to handle simultaneous message writes.,Apply
Analyze the system by computing the Need matrix.,Analyze
Apply a suitable algorithm that determines whether the system is in a safe state.,Apply
"If the system is safe, derive a safe sequence; otherwise, justify why the system is unsafe.",Evaluate
Analyze the causes and effects of thrashing in modern operating systems.,Analyze
"Compare and analyze FCFS, SJF, and Round Robin scheduling algorithms.",Analyze
Differentiate between logical memory and physical memory with suitable examples.,Analyze
Examine the role of the Translation Lookaside Buffer (TLB) in paging systems.,Analyze
Analyze how deadlocks occur in a multitasking environment.,Analyze
Compare process synchronization mechanisms such as semaphores and monitors.,Analyze
Analyze the impact of context switching on CPU performance.,Analyze
Differentiate between internal and external fragmentation.,Analyze
Analyze the working of virtual memory in operating systems.,Analyze
Compare contiguous and non-contiguous memory allocation techniques.,Analyze
Examine the relationship between concurrency and race conditions.,Analyze
Analyze the advantages and disadvantages of multiprocessor systems.,Analyze
Compare demand paging with segmentation memory management.,Analyze
Analyze the role of system calls in operating systems.,Analyze
Differentiate between user-level threads and kernel-level threads.,Analyze
Evaluate the effectiveness of Round Robin scheduling for time-sharing systems.,Evaluate
Justify the use of paging over segmentation in memory management.,Evaluate
Recommend the best disk scheduling algorithm for SSD-based systems.,Evaluate
Evaluate the impact of virtual memory on system performance.,Evaluate
Justify the importance of synchronization in concurrent programming.,Evaluate
Evaluate different file allocation methods used in operating systems.,Evaluate
Recommend an appropriate scheduling algorithm for real-time systems.,Evaluate
Critically evaluate semaphore-based synchronization mechanisms.,Evaluate
Justify the need for process scheduling in multiprogramming systems.,Evaluate
Evaluate the performance trade-offs between threads and processes.,Evaluate
Critically analyze the effectiveness of memory protection mechanisms.,Analyze
Recommend suitable memory allocation techniques for embedded systems.,Evaluate
Evaluate the security challenges in modern operating systems.,Evaluate
Justify the use of interprocess communication techniques.,Evaluate
Design a CPU scheduling algorithm for real-time operating systems.,Create
Develop a deadlock prevention strategy for distributed systems.,Create
Construct a paging mechanism for virtual memory management.,Create
Create a synchronization model using semaphores and mutex locks.,Create
Propose a file allocation method for high-speed storage systems.,Create
Design an operating system module for process communication.,Create
Develop an efficient disk scheduling strategy for cloud environments.,Create
Create a custom memory management scheme for gaming systems.,Create
Design a multithreaded application to demonstrate process synchronization.,Create
Develop a process scheduling simulator using any programming language.,Create
Construct a deadlock detection algorithm for multiprocessor systems.,Create
Propose an improved virtual memory replacement algorithm.,Create
Create a lightweight operating system architecture for IoT devices.,Create
Design a secure file management system for distributed environments.,Create
Develop a resource allocation framework to avoid starvation.,Create
Distinguish between Multiprogramming and Multitasking.,Analyze
Distinguish between Multiprocessor System and Clustered System.,Analyze
Define operating Systems.,Remember
Explain the dual-mode operating system with a neat diagram.,Understand
Explain the concept of the virtual machine.,Understand
Explain the layered approach of operating system structure with a supporting diagram.,Understand
Explain the services of the operating system that are helpful for the user and the system.,Understand
Explain the states of a process with a transition diagram and process control block.,Understand
Discuss message passing and the shared memory concept of IPC.,Understand
Calculate average waiting and turnaround times by drawing the Gantt chart using FCFS and RR (q=2ms).,Apply
"Discuss in detail the multithreading model, its advantages and disadvantages with suitable illustration.",Understand
Explain five different scheduling criteria used in the computing scheduling mechanism.,Understand
Calculate the average waiting time and the average turnaround time by drawing the Gantt chart using SRTF and the Priority scheduling algorithm.,Apply
Define deadlock.,Remember
Illustrate Peterson’s solution for the critical section problem.,Understand
"If yes, mention the safe sequence.",Remember
Explain different methods to recover from deadlocks.,Understand
Consider an example to explain how a resource allocation graph is useful in describing a deadly embrace.,Understand
State the Dining Philosopher problem and give a solution using semaphore.,Remember
Explain TLB in detail with a paging system with a neat diagram.,Understand
Explain the various steps of address binding with the help of a neat diagram.,Understand
Explain the steps in handling page faults using the appropriate diagram.,Understand
Explain the basic method of segmentation with an example.,Understand
Discuss the structure of the page table with a suitable diagram.,Understand
Explain file operations.,Understand
Explain in detail about various file operations in a file system.,Understand
Discuss various directory structures with neat diagrams.,Understand
Explain contiguous and linked disk space allocation methods.,Understand
Explain the access matrix method of system protection with the domain as objects and its implementation.,Understand
Explain in detail the system call sequence to copy the contents of one file to another file.,Understand
"Draw a Gantt chart illustrating the execution of jobs using FCFS, SJF, and Priority preemptive algorithm.",Apply
Calculate the average waiting time and average turnaround time.,Apply
Explain the concept of forking to create a separate process.,Create
Provide an example code demonstrating the use of fork() to create a child process.,Create
Explain the Banker's Algorithm for deadlock avoidance.,Understand
Draw a Gantt chart illustrating the execution of jobs using Round Robin with time quantum = 2 unit.,Apply
Distinguish between counting and binary semaphores.,Analyze
Explain each deadlock condition in detail.,Understand
Describe the concept of resource allocation graphs and how they help in deadlock detection.,Understand
List the steps involved in handling a page fault.,Remember
Explain the paging hardware with a suitable diagram.,Understand
Explain various file access methods with suitable examples.,Understand
Describe any two disk scheduling algorithms with suitable illustrations.,Understand
"Calculate the average waiting time, average turnaround time and response time using FCFS, SJF and Priority preemptive algorithm.",Apply
Describe the Round Robin scheduling algorithm used in operating systems.,Understand
Provide an example to demonstrate how Round Robin handles process switching and ensures equitable CPU time distribution.,Apply
Discuss the classical synchronization problem known as the Bounded-Buffer Problem and present a solution to it.,Understand
Explain the concepts of counting semaphores used in process synchronization.,Understand
Provide examples to illustrate the use of counting semaphores in different scenarios.,Apply
Describe the Peterson’s solution for the critical section problem.,Understand
Explain various necessary conditions for a deadlock to occur.,Understand
Explain deadlock prevention.,Understand
Illustrate paging with an example.,Understand
Explain the concept of contiguous memory allocation and its advantages and drawbacks.,Understand
Explain demand paging in detail.,Understand
Explain file attributes.,Understand
Discuss in detail different file access methods.,Understand
How can access control lists (ACLs) and capabilities be used to implement the access matrix?,Apply
What functions do operating systems perform to manage hardware resources and provide user interfaces?,Apply
Compare and contrast various types of system calls used by operating systems.,Analyze
Explain the different states of a process with a diagram.,Understand
Analyze how each scheduling criterion influences the selection of processes for execution.,Analyze
Discuss the trade-offs involved in prioritizing one scheduling criterion over another in different scheduling algorithms.,Understand
Assess which of the algorithms is better.,Evaluate
Compare and contrast multilevel queue and multilevel feedback queue scheduling algorithms with appropriate diagrams.,Analyze
Describe the role of semaphores in controlling access to shared resources by multiple readers and writers simultaneously.,Understand
Analyze the data structures employed in the Banker's algorithm for resource allocation in operating systems.,Analyze
Describe the resource allocation graph with deadlock.,Understand
