question,CO,PO,BTL
Define an operating system and list its major functions.,CO1,PO1,L1
List the different types of operating systems with examples.,CO1,PO1,L1
State the functions of an operating system kernel.,CO1,PO1,L1
Name the categories of system calls provided by OS.,CO1,PO1,L1
What is a virtual machine in operating system context?,CO1,PO1,L1
Identify the components of a computer system architecture.,CO1,PO1,L1
Mention the services provided by the operating system.,CO1,PO1,L1
Write the definition of microkernel architecture in OS.,CO1,PO1,L1
List the key features of monolithic kernel design.,CO1,PO1,L1
State the purpose of dual mode operation in operating system.,CO1,PO1,L1
Name the layers in a layered operating system architecture.,CO1,PO1,L1
List the system call types in the POSIX interface.,CO1,PO1,L1
Define kernel mode and user mode in operating system.,CO1,PO1,L1
What is the bootstrap process in an operating system?,CO1,PO1,L1
State the difference between multiprogramming and multitasking OS.,CO1,PO1,L1
Explain the layered approach to operating system design.,CO1,PO1,L2
Describe the monolithic kernel architecture and its components.,CO1,PO1,L2
Discuss the microkernel design advantages over monolithic OS kernel.,CO1,PO1,L2
Explain the concept of system calls with POSIX examples.,CO1,PO1,L2
Describe the dual mode operation in operating systems.,CO1,PO1,L2
Discuss the virtual machine concept in operating systems.,CO1,PO1,L2
Explain the difference between kernel space and user space in OS.,CO1,PO1,L2
Summarize the evolution from batch to time-sharing operating systems.,CO1,PO1,L2
Explain the role of system calls in OS services.,CO1,PO1,L2
Describe how the operating system kernel manages hardware resources.,CO1,PO1,L2
Discuss the hybrid kernel approach used in modern operating systems.,CO1,PO1,L2
Explain the concept of virtual machine monitor in operating systems.,CO1,PO1,L2
Describe the structure of a real-time operating system kernel.,CO1,PO1,L2
Discuss the modular approach to operating system design.,CO1,PO1,L2
Explain system programs and their relationship with OS kernel.,CO1,PO1,L2
Apply system calls to create and manage files in Linux kernel.,CO1,PO2,L3
Demonstrate use of fork system call for process creation in OS.,CO1,PO2,L3
Show how user programs access kernel services via system calls.,CO1,PO2,L3
Use system calls to demonstrate file read and write in Unix OS.,CO1,PO2,L3
Apply OS architecture concepts to trace a system call execution path.,CO1,PO2,L3
Demonstrate kernel privilege level switching via system call trap.,CO1,PO2,L3
Show the sequence of kernel operations during a system call in OS.,CO1,PO2,L3
Apply dual mode concept to demonstrate OS protection mechanism.,CO1,PO2,L3
Implement a simple shell program using system calls in Linux.,CO1,PO2,L3
Demonstrate exec system call to load a program in Unix OS.,CO1,PO2,L3
Analyze the advantages of microkernel over monolithic OS architecture.,CO1,PO2,L4
Compare the performance of layered versus monolithic OS designs.,CO1,PO2,L4
Differentiate between user mode and kernel mode execution in OS.,CO1,PO2,L4
Examine structural differences between Windows and Linux kernel.,CO1,PO2,L4
Analyze the role of system calls in operating system security.,CO1,PO2,L4
Compare batch processing and time-sharing operating systems.,CO1,PO2,L4
Differentiate between multiprogramming and multiprocessing OS.,CO1,PO2,L4
Examine how virtualization impacts the operating system design.,CO1,PO2,L4
Compare exokernel and microkernel OS architectures.,CO1,PO2,L4
Analyze the trade-offs in layered versus modular OS kernel design.,CO1,PO2,L4
Differentiate between monolithic and modular kernel OS designs.,CO1,PO2,L4
Examine system call overhead impact on OS performance.,CO1,PO2,L4
Analyze the design trade-offs in real-time versus general purpose OS.,CO1,PO2,L4
Compare the virtual machine monitor types in operating systems.,CO1,PO2,L4
Evaluate design trade-offs in monolithic kernel architecture.,CO1,PO2,L5
Assess suitability of microkernel for embedded real-time systems.,CO1,PO2,L5
Justify use of virtual machines in cloud computing environments.,CO1,PO2,L5
Critique limitations of monolithic OS for modern multi-core hardware.,CO1,PO2,L5
Evaluate security implications of kernel design choices in OS.,CO1,PO2,L5
Recommend the most appropriate OS architecture for IoT devices.,CO1,PO2,L5
Assess the impact of system call overhead on overall OS performance.,CO1,PO2,L5
Justify why modern operating systems use hybrid kernel designs.,CO1,PO2,L5
Critique the layered OS approach for high performance computing.,CO1,PO2,L5
Evaluate effectiveness of virtual machine monitors in OS design.,CO1,PO2,L5
Design an OS architecture for an embedded real-time control system.,CO1,PO3,L6
Develop a kernel structure for a secure operating system.,CO1,PO3,L6
Construct a layered OS design for a cloud computing platform.,CO1,PO3,L6
Propose an OS architecture that balances security and performance.,CO1,PO3,L6
Create a system call interface specification for a custom OS kernel.,CO1,PO3,L6
Design a virtual machine monitor for server consolidation.,CO1,PO3,L6
Develop a microkernel-based OS design for safety-critical systems.,CO1,PO3,L6
Formulate an OS structure for distributed computing environment.,CO1,PO3,L6
Define a process and list its different execution states.,CO2,PO1,L1
List CPU scheduling algorithms used in operating systems.,CO2,PO1,L1
State the purpose of a Process Control Block PCB.,CO2,PO1,L1
Name the fields stored in a Process Control Block.,CO2,PO1,L1
What is context switching in process management?,CO2,PO1,L1
Define a thread and list the differences between process and thread.,CO2,PO1,L1
Identify the necessary conditions for the critical section problem.,CO2,PO1,L1
List Inter Process Communication IPC mechanisms in OS.,CO2,PO1,L1
State the difference between preemptive and non-preemptive scheduling.,CO2,PO1,L1
Define semaphore and list its types in process synchronization.,CO2,PO1,L1
What is a monitor? List its components for process synchronization.,CO2,PO1,L1
List the states in the five-state process model.,CO2,PO1,L1
Define race condition in process synchronization.,CO2,PO1,L1
State the purpose of mutex in process synchronization.,CO2,PO1,L1
Define priority inversion in CPU scheduling.,CO2,PO1,L1
Explain Round Robin CPU scheduling algorithm with example.,CO2,PO1,L2
Describe working of First Come First Served FCFS CPU scheduling.,CO2,PO1,L2
Discuss concept of Shortest Job First SJF CPU scheduling.,CO2,PO1,L2
Explain producer consumer problem using semaphore in OS.,CO2,PO1,L2
Describe how semaphore solves the critical section problem.,CO2,PO1,L2
Explain multithreading concept and its advantages in process management.,CO2,PO1,L2
Discuss dining philosophers problem and process synchronization.,CO2,PO1,L2
Describe process creation and termination in UNIX OS.,CO2,PO1,L2
Explain priority CPU scheduling with preemption and aging technique.,CO2,PO1,L2
Describe monitor mechanism for process synchronization.,CO2,PO1,L2
Discuss readers writers problem and semaphore solution.,CO2,PO1,L2
Explain multilevel feedback queue CPU scheduling algorithm.,CO2,PO1,L2
Describe Shortest Remaining Time First SRTF CPU scheduling.,CO2,PO1,L2
Explain Peterson solution for critical section in process synchronization.,CO2,PO1,L2
Discuss the CPU scheduling criteria and performance metrics.,CO2,PO1,L2
Explain spinlock concept in process synchronization.,CO2,PO1,L2
Describe concept of thread-level parallelism in CPU scheduling.,CO2,PO1,L2
Calculate average waiting time for FCFS CPU scheduling algorithm.,CO2,PO2,L3
Apply Round Robin CPU scheduling with quantum 3 and compute waiting time.,CO2,PO2,L3
Solve critical section problem using Peterson algorithm.,CO2,PO2,L3
Implement semaphore solution for readers writers problem.,CO2,PO2,L3
Compute CPU utilization for multilevel queue scheduling.,CO2,PO2,L3
Simulate SJF CPU scheduling for given set of processes.,CO2,PO2,L3
Apply priority CPU scheduling and draw Gantt chart.,CO2,PO2,L3
Calculate turnaround time using SRTF preemptive CPU scheduling.,CO2,PO2,L3
Use Round Robin to compute response time for each process.,CO2,PO2,L3
Apply FCFS CPU scheduling to determine waiting time per process.,CO2,PO2,L3
Calculate average waiting time using Round Robin scheduling.,CO2,PO2,L3
Apply preemptive SJF scheduling and compute average turnaround time.,CO2,PO2,L3
Simulate process execution using FCFS CPU scheduling algorithm.,CO2,PO2,L3
Calculate Gantt chart for priority CPU scheduling with aging.,CO2,PO2,L3
Apply semaphore operations to solve bounded buffer problem.,CO2,PO2,L3
Analyze performance of FCFS versus SJF CPU scheduling algorithms.,CO2,PO2,L4
Compare Round Robin and Multilevel Queue CPU scheduling algorithms.,CO2,PO2,L4
Differentiate between user level threads and kernel level threads.,CO2,PO2,L4
Examine starvation problem in priority CPU scheduling.,CO2,PO2,L4
Analyze effectiveness of semaphores versus monitors for synchronization.,CO2,PO2,L4
Compare IPC mechanisms in terms of speed and complexity.,CO2,PO2,L4
Examine trade-offs between cooperative and preemptive multitasking.,CO2,PO2,L4
Analyze performance impact of context switching overhead in OS.,CO2,PO2,L4
Differentiate between hard real-time and soft real-time CPU scheduling.,CO2,PO2,L4
Compare efficiency of mutex locks versus counting semaphores.,CO2,PO2,L4
Analyze priority inversion problem in process scheduling.,CO2,PO2,L4
Differentiate between preemptive and non-preemptive CPU scheduling.,CO2,PO2,L4
Examine the convoy effect in FCFS CPU scheduling.,CO2,PO2,L4
Analyze the impact of quantum size on Round Robin scheduling performance.,CO2,PO2,L4
Evaluate which CPU scheduling algorithm is best for time-sharing systems.,CO2,PO2,L5
Assess impact of context switching overhead on system performance.,CO2,PO2,L5
Justify use of monitors over semaphores in concurrent programming.,CO2,PO2,L5
Critique limitations of Peterson solution for mutual exclusion.,CO2,PO2,L5
Assess suitability of POSIX threads for high-performance parallel computing.,CO2,PO2,L5
Recommend synchronization mechanism for database transaction management.,CO2,PO2,L5
Evaluate fairness of Round Robin versus priority CPU scheduling.,CO2,PO2,L5
Justify use of aging to prevent starvation in priority CPU scheduling.,CO2,PO2,L5
Assess effectiveness of multilevel feedback queue scheduling.,CO2,PO2,L5
Evaluate the impact of quantum time on Round Robin CPU performance.,CO2,PO2,L5
Design a CPU scheduling algorithm for a real-time operating system.,CO2,PO3,L6
Develop a monitor-based solution to the readers writers problem.,CO2,PO3,L6
Construct a process synchronization mechanism for a banking application.,CO2,PO3,L6
Formulate a scheduling policy for a multimedia operating system.,CO2,PO3,L6
Create a priority-based thread pool architecture for a web server.,CO2,PO3,L6
Design a fair multi-level CPU scheduler with dynamic priority adjustment.,CO2,PO3,L6
Develop a semaphore-based solution to the bounded buffer problem.,CO2,PO3,L6
Propose a thread scheduling framework for a cloud computing platform.,CO2,PO3,L6
Define paging and list the components of a page table.,CO3,PO1,L1
List the different page replacement algorithms.,CO3,PO1,L1
State the differences between internal and external memory fragmentation.,CO3,PO1,L1
Define virtual memory and mention its advantages.,CO3,PO1,L1
Name the fields stored in a page table entry.,CO3,PO1,L1
What is a Translation Lookaside Buffer TLB in memory management?,CO3,PO1,L1
Define thrashing in virtual memory management.,CO3,PO1,L1
List the memory allocation strategies used in operating systems.,CO3,PO1,L1
Define segmentation and list the fields in a segment table.,CO3,PO1,L1
State the difference between logical address and physical address.,CO3,PO1,L1
Define demand paging in virtual memory systems.,CO3,PO1,L1
What is a page fault in virtual memory management?,CO3,PO1,L1
Explain the working of demand paging with a suitable diagram.,CO3,PO1,L2
Describe the LRU Least Recently Used page replacement algorithm.,CO3,PO1,L2
Explain segmentation memory management with an example.,CO3,PO1,L2
Discuss the concept of thrashing and how to prevent it in virtual memory.,CO3,PO1,L2
Describe First Fit Best Fit and Worst Fit memory allocation strategies.,CO3,PO1,L2
Explain how TLB improves memory access performance.,CO3,PO1,L2
Describe the working of an inverted page table.,CO3,PO1,L2
Explain the concept of copy-on-write in virtual memory management.,CO3,PO1,L2
Discuss the buddy system memory allocation scheme.,CO3,PO1,L2
Explain the working of multilevel paging.,CO3,PO1,L2
Describe the working set model for memory management.,CO3,PO1,L2
Explain the clock algorithm for page replacement in virtual memory.,CO3,PO1,L2
Describe the concept of page sharing in virtual memory management.,CO3,PO1,L2
Explain the structure of a page table in 64-bit systems.,CO3,PO1,L2
Discuss the concept of memory allocation using best fit strategy.,CO3,PO1,L2
Calculate page faults using FIFO page replacement for given reference string.,CO3,PO2,L3
Apply LRU page replacement algorithm to reference string and find page faults.,CO3,PO2,L3
Compute effective memory access time given a TLB hit ratio.,CO3,PO2,L3
Solve memory allocation using best fit strategy for given partitions.,CO3,PO2,L3
Demonstrate optimal page replacement algorithm for given reference string.,CO3,PO2,L3
Apply paging technique to translate logical addresses to physical.,CO3,PO2,L3
Compute the size of page table given logical and physical address space.,CO3,PO2,L3
Calculate page faults using clock second chance page replacement.,CO3,PO2,L3
Apply second chance page replacement to given page reference string.,CO3,PO2,L3
Solve address translation using two-level paging for logical address.,CO3,PO2,L3
Use working set model to calculate number of frames needed for process.,CO3,PO2,L3
Apply first fit memory allocation for given memory partition table.,CO3,PO2,L3
Calculate internal fragmentation for paging with given page size.,CO3,PO2,L3
Apply LFU Least Frequently Used page replacement to reference string.,CO3,PO2,L3
Compute effective access time with demand paging and TLB.,CO3,PO2,L3
Analyze Belady anomaly with example for FIFO page replacement.,CO3,PO2,L4
Compare paging and segmentation in terms of fragmentation and performance.,CO3,PO2,L4
Differentiate between FIFO and LRU page replacement algorithms.,CO3,PO2,L4
Examine effects of page size on TLB performance and memory overhead.,CO3,PO2,L4
Analyze working set model effectiveness in preventing thrashing.,CO3,PO2,L4
Compare fixed allocation and variable allocation page frame strategies.,CO3,PO2,L4
Differentiate between local and global page replacement policies.,CO3,PO2,L4
Examine impact of page fault frequency on memory allocation.,CO3,PO2,L4
Analyze the memory hierarchy impact on virtual memory performance.,CO3,PO2,L4
Compare demand paging and pre-paging virtual memory strategies.,CO3,PO2,L4
Differentiate between swapping and virtual memory paging techniques.,CO3,PO2,L4
Examine thrashing condition detection and prevention in virtual memory.,CO3,PO2,L4
Compare clock algorithm and LRU approximation for page replacement.,CO3,PO2,L4
Evaluate effectiveness of LRU versus Optimal page replacement.,CO3,PO2,L5
Assess trade-offs between segmentation and paging memory techniques.,CO3,PO2,L5
Justify use of demand paging over static memory allocation.,CO3,PO2,L5
Assess suitability of working set model versus LRU approximation.,CO3,PO2,L5
Justify use of copy-on-write for forked processes in Linux.,CO3,PO2,L5
Recommend memory allocation strategy for embedded real-time systems.,CO3,PO2,L5
Evaluate TLB performance impact on memory-intensive applications.,CO3,PO2,L5
Critique limitations of FIFO page replacement in virtual memory OS.,CO3,PO2,L5
Justify selection of page replacement policy for a DBMS system.,CO3,PO2,L5
Evaluate impact of page size on operating system memory performance.,CO3,PO2,L5
Design a memory management scheme for a multiprogramming OS.,CO3,PO3,L6
Develop a virtual memory management policy for a database server.,CO3,PO3,L6
Create a segmented paging memory system design for 64-bit OS.,CO3,PO3,L6
Construct a page replacement policy for high-performance computing.,CO3,PO3,L6
Propose a memory management framework for real-time embedded OS.,CO3,PO3,L6
Design a hybrid memory allocation strategy for cloud computing.,CO3,PO3,L6
Develop a virtual memory system design for embedded Linux.,CO3,PO3,L6
Formulate a TLB management scheme for a multi-processor OS.,CO3,PO3,L6
Define a file system and list its primary functions.,CO4,PO1,L1
List the file allocation methods in operating systems.,CO4,PO1,L1
State the structure of an inode in UNIX file system.,CO4,PO1,L1
Name the types of file access methods in operating systems.,CO4,PO1,L1
What is a directory? List the directory structures used in OS.,CO4,PO1,L1
Define free space management and list techniques used in file system.,CO4,PO1,L1
List the file protection mechanisms in operating systems.,CO4,PO1,L1
Define hard link and soft link in UNIX file system.,CO4,PO1,L1
List the file operations supported by an operating system.,CO4,PO1,L1
State the structure of a File Allocation Table FAT.,CO4,PO1,L1
Define indexed file allocation and list its advantages.,CO4,PO1,L1
State the difference between sequential and direct file access.,CO4,PO1,L1
Explain the indexed file allocation method with a suitable diagram.,CO4,PO1,L2
Describe the structure and working of FAT file system.,CO4,PO1,L2
Explain the concept of inode and its role in UNIX file system.,CO4,PO1,L2
